path,hazard,rp,ssp
fathom_data/FU__rp_10.tif,FU,10,historical
fathom_data/FU__rp_100.tif,FU,100,historical
fathom_data/FU__rp_1000.tif,FU,1000,historical
fathom_data/FU__rp_20.tif,FU,20,historical
fathom_data/FU__rp_200.tif,FU,200,historical
fathom_data/FU__rp_250.tif,FU,250,historical
fathom_data/FU__rp_5.tif,FU,5,historical
fathom_data/FU__rp_50.tif,FU,50,historical
fathom_data/FU__rp_500.tif,FU,500,historical
fathom_data/FU__rp_75.tif,FU,75,historical
fathom_data/P__rp_10.tif,P,10,historical
fathom_data/P__rp_100.tif,P,100,historical
fathom_data/P__rp_1000.tif,P,1000,historical
fathom_data/P__rp_20.tif,P,20,historical
fathom_data/P__rp_200.tif,P,200,historical
fathom_data/P__rp_250.tif,P,250,historical
fathom_data/P__rp_5.tif,P,5,historical
fathom_data/P__rp_50.tif,P,50,historical
fathom_data/P__rp_500.tif,P,500,historical
fathom_data/P__rp_75.tif,P,75,historical
